date,time,lat,lon,injured,killed,street,cross
2025-09-28,18:40:00,40.73401,-74.00456,1,0,W 10 ST,BLEECKER ST
2025-09-28,19:30:00,40.65967,-73.99517,1,0,24 ST,5 AVE
2025-09-28,14:10:00,40.576305,-73.96853,1,0,W BRIGHTON AVE,OCEAN PKWY
2025-09-28,15:30:00,40.738945,-73.81505,1,0,LONG ISLAND EXPRESSWAY,KISSENA BOULEVARD
2025-09-28,15:45:00,40.849106,-73.89495,1,0,3 AVE,E 179 ST
2025-09-28,16:24:00,40.69401,-73.96109,1,0,CLASSON AVE,MYRTLE AVE
2025-09-28,22:10:00,40.75927,-73.98089,1,0,W 49 ST,AVENUE OF THE AMERICAS
2025-09-28,17:57:00,40.66303,-73.99168,1,0,18 ST,5 AVE
2025-09-28,20:00:00,40.66871,-73.917305,1,0,PITKIN AVE,SARATOGA AVE
2025-09-28,23:50:00,40.625984,-74.00152,1,0,65 ST,13 AVE
2025-09-28,17:00:00,40.68506,-73.971825,1,0,NA,NA
2025-09-27,18:45:00,40.677845,-73.89524,1,0,NA,NA
2025-09-27,20:45:00,40.78888,-73.97786,1,0,W END AVE,W 86 ST
2025-09-27,18:45:00,40.739395,-73.877914,1,0,CORONA AVE,BROADWAY
2025-09-27,14:45:00,40.780857,-73.96091,1,0,E 85 ST,5 AVE
2025-09-27,13:02:00,40.709866,-73.86832,1,0,COOPER AVE,82 ST
2025-09-27,22:28:00,40.675735,-73.89685,1,0,ATLANTIC AVE,PENNSYLVANIA AVE
2025-09-27,02:36:00,40.707756,-73.946655,0,1,MESEROLE ST,LEONARD ST
2025-09-27,11:10:00,40.671623,-73.96257,1,0,WASHINGTON AVE,EASTERN PKWY
2025-09-27,09:15:00,40.73038,-73.986374,1,0,2 AVE,E 11 ST
2025-09-27,19:41:00,40.671616,-73.89774,1,0,GEORGIA AVE,PITKIN AVE
2025-09-27,00:00:00,40.716644,-73.99581,2,0,BOWERY,CANAL ST
2025-09-27,20:11:00,40.844982,-73.8852,1,0,SOUTHERN BLVD,MARMION AVE
2025-09-26,18:42:00,40.844845,-73.93518,1,0,W 175 ST,AUDUBON AVE
2025-09-26,09:30:00,40.73169,-73.805084,1,0,164 ST,JEWEL AVE
2025-09-26,12:55:00,40.734024,-73.98086,1,0,NA,NA
2025-09-26,09:45:00,40.756268,-73.82352,1,0,FRANKLIN AVE,UNION ST
2025-09-26,23:00:00,40.86158,-73.92478,1,0,FORT GEORGE HL,NAGLE AVE
2025-09-26,16:55:00,40.75582,-73.93258,1,0,29 ST,37 AVE
2025-09-26,16:02:00,40.713116,-73.93537,1,0,NA,NA
2025-09-26,11:35:00,40.63581,-73.97462,1,0,NA,NA
2025-09-26,17:05:00,40.68377,-73.92624,1,0,PATCHEN AVE,MACON ST
2025-09-26,08:40:00,40.729183,-74.011314,1,0,NA,NA
2025-09-26,22:20:00,40.850143,-73.91255,1,0,NA,NA
2025-09-26,20:02:00,40.758255,-73.89533,1,0,31 AVE,72 ST
2025-09-26,19:05:00,40.750786,-73.90106,1,0,BROADWAY,61 ST
2025-09-26,00:01:00,40.819927,-73.910194,1,0,NA,NA
2025-09-26,19:30:00,40.75302,-73.99583,1,0,NA,NA
2025-09-26,13:40:00,40.73792,-73.992226,1,0,5 AVE,E 17 ST
2025-09-26,21:00:00,40.74601,-73.8672,1,0,NA,NA
2025-09-26,13:50:00,40.849014,-73.903984,1,0,NA,NA
2025-09-26,17:30:00,40.705124,-73.86419,1,0,NA,NA
2025-09-26,19:15:00,40.82564,-73.952324,1,0,NA,NA
2025-09-26,19:09:00,40.66543,-73.97153,1,0,NA,NA
2025-09-26,16:45:00,40.7313,-74.01046,1,0,MORTON ST,WEST ST
2025-09-26,06:10:00,40.758022,-73.9818,1,0,AVENUE OF THE AMERICAS,W 47 ST
2025-09-25,07:48:00,40.683693,-73.87963,1,0,NORWOOD AVE,RIDGEWOOD AVE
2025-09-25,06:44:00,40.79804,-73.96003,1,0,W 106 ST,CENTRAL PARK W
2025-09-25,19:32:00,40.6934,-73.9675,1,0,NA,NA
2025-09-25,22:32:00,40.68803,-73.82521,1,0,NA,NA
2025-09-25,00:14:00,40.85931,-73.89884,1,0,E 184 ST,GRAND CONC
2025-09-25,03:20:00,40.716213,-73.80314,1,0,164 STREET,GRAND CENTRAL PARKWAY
2025-09-25,16:55:00,40.5963,-73.95978,1,0,AVENUE V,E 12 ST
2025-09-25,12:20:00,40.607662,-73.98194,1,0,NA,NA
2025-09-25,17:03:00,40.693134,-73.96983,1,0,MYRTLE AVE,VANDERBILT AVE
2025-09-25,07:40:00,40.822117,-73.89688,1,0,WESTCHESTER AVE,INTERVALE AVE
2025-09-25,06:40:00,40.680016,-73.877426,1,0,ATLANTIC AVE,LOGAN ST
2025-09-25,07:24:00,40.79768,-73.93728,1,0,E 117 ST,2 AVE
2025-09-25,18:55:00,40.810066,-73.95497,1,0,W 123 ST,MORNINGSIDE AVE
2025-09-25,12:20:00,40.57651,-73.985830000000007,1,0,MERMAID AVE,W 19 ST
2025-09-24,19:00:00,40.77064,-73.82657,1,0,UNION ST,31 RD
2025-09-24,11:24:00,40.798717,-73.95953,1,0,W 107 ST,CENTRAL PARK W
2025-09-24,06:53:00,40.70028,-73.94115,1,0,SUMNER PL,BROADWAY
2025-09-24,09:50:00,40.650948,-73.94668,1,0,CHURCH AVE,NEW YORK AVE
2025-09-24,14:10:00,40.81383,-73.95642,1,0,NA,NA
2025-09-24,12:00:00,40.66056,-74.00119,1,0,3 AVE,27 ST
2025-09-24,18:07:00,40.8729,-73.87778,1,0,NA,NA
2025-09-24,12:50:00,40.66701,-73.90039,1,0,SNEDIKER AVE,BLAKE AVE
2025-09-24,20:17:00,40.88514,-73.89688,1,0,NA,NA
2025-09-24,09:00:00,40.74462,-74.00269,1,0,W 20 ST,9 AVE
2025-09-24,14:56:00,40.85447,-73.91007,1,0,W BURNSIDE AVE,HARRISON AVE
2025-09-24,14:37:00,40.68064,-73.95337,1,0,FULTON ST,BEDFORD AVE
2025-09-24,08:27:00,40.81935,-73.93058,1,0,EXTERIOR STREET,EAST 149 STREET
2025-09-24,18:24:00,40.801636,-73.96858,1,0,W END AVE,W 106 ST
2025-09-23,17:00:00,40.77491,-73.97691,1,0,W 70 ST,CENTRAL PARK W
2025-09-23,09:00:00,40.677856,-73.97204,1,0,NA,NA
2025-09-23,07:15:00,40.735306,-74.00494,1,0,BLEECKER ST,PERRY ST
2025-09-23,17:30:00,40.637615,-73.98584,1,0,14 AVE,42 ST
2025-09-23,17:10:00,40.765675,-73.976234,1,0,CENTRAL PARK S,AVENUE OF THE AMERICAS
2025-09-23,11:58:00,40.57698,-73.98157,1,0,MERMAID AVE,STILLWELL AVE
2025-09-23,13:44:00,40.760273,-73.804,1,0,SANFORD AVE,162 ST
2025-09-23,16:10:00,40.72149,-73.86657,1,0,WOODHAVEN BLVD,64 RD
2025-09-23,19:14:00,40.715805,-73.82448,1,0,UNION TPKE,134 ST
2025-09-23,20:10:00,40.721455,-73.84398,1,0,71 AVE,QUEENS BLVD
2025-09-23,19:30:00,40.744186,-73.99187,1,0,W 25 ST,AVENUE OF THE AMERICAS
2025-09-23,10:40:00,40.68064,-73.95337,1,0,BEDFORD AVE,FULTON ST
2025-09-23,19:20:00,40.663284,-73.96095,1,0,WASHINGTON AVE,EMPIRE BLVD
2025-09-23,00:00:00,40.75672,-73.914215,1,0,BROADWAY,46 ST
2025-09-23,13:30:00,40.85662,-73.867615,1,0,PELHAM PARKWAY,WHITE PLAINS ROAD
2025-09-23,21:40:00,40.6752,-73.95,1,0,ST MARKS AVE,NOSTRAND AVE
2025-09-23,11:29:00,40.86159,-73.92474,1,0,NAGLE AVE,DYCKMAN ST
2025-09-23,18:41:00,40.779434,-73.98599,1,0,NA,NA
2025-09-23,07:05:00,40.825905,-73.94711,1,0,AMSTERDAM AVE,W 146 ST
2025-09-23,19:17:00,40.848484,-73.93062,1,0,AMSTERDAM AVE,W 182 ST
2025-09-22,15:00:00,40.8305,-73.86162,1,0,WHITE PLAINS RD,GLEASON AVE
2025-09-22,00:50:00,40.760147,-73.907,1,0,50 ST,30 AVE
2025-09-22,16:20:00,40.698357,-73.73136,0,1,115 AVE,227 ST
2025-09-22,12:00:00,40.747833,-73.86243,1,0,103 ST,42 AVE
2025-09-22,18:45:00,40.6292,-74.031654,1,0,79 ST,RIDGE BLVD
2025-09-22,07:00:00,40.67657,-73.944305,1,0,BROOKLYN AVE,DEAN ST
2025-09-22,17:31:00,40.742256,-73.977684,1,0,E 30 ST,2 AVE
2025-09-22,07:33:00,40.64759,-74.01141,1,0,4 AVE,48 ST
2025-09-22,00:00:00,40.828304,-73.88295,1,0,BRONX RIVER AVE,WESTCHESTER AVENUE BRG
2025-09-22,16:19:00,40.749897,-73.93781,1,0,QUEENS PLZ N,29 ST
2025-09-22,08:49:00,40.80983,-73.94993,1,0,NA,NA
2025-09-22,19:17:00,40.737553,-74.005684,1,0,W 12 ST,HUDSON ST
2025-09-22,00:53:00,40.84437,-73.889015,1,0,E TREMONT AVE,PROSPECT AVE
2025-09-22,20:51:00,40.74436,-73.913704,1,0,51 ST,43 AVE
2025-09-22,10:38:00,40.830345,-73.92327,1,0,E 164 ST,GERARD AVE
2025-09-22,02:39:00,40.74793,-73.881134,1,0,ROOSEVELT AVE,85 ST
2025-09-22,05:35:00,40.71079,-73.959946,1,0,S 4 ST,ROEBLING ST
2025-09-22,08:13:00,40.755825,-73.97076,1,0,E 50 ST,3 AVE
2025-09-22,17:39:00,40.77564,-73.96051,1,0,E 79 ST,PARK AVE
2025-09-21,15:40:00,40.602028,-73.998566,1,0,BENSON AVE,BAY 26 ST
2025-09-21,19:45:00,40.806984,-73.9535,1,0,FREDERICK DOUGLASS BLVD,W 120 ST
2025-09-21,09:10:00,40.57848,-73.989456,1,0,NEPTUNE AVE,W 22 ST
2025-09-21,11:16:00,40.713844,-73.99272,1,0,E BROADWAY,PIKE ST
2025-09-21,13:00:00,40.740105,-73.95958,1,0,2 ST,55 AVE
2025-09-21,21:15:00,40.7178,-73.80357,1,0,164 ST,82 RD
2025-09-21,12:26:00,40.74155,-73.98958,1,0,E 23 ST,5 AVE
2025-09-21,12:22:00,40.661594,-73.97935,2,0,PROSPECT PARK W,14 ST
2025-09-21,18:41:00,40.709274,-74.00169,1,0,NA,NA
2025-09-21,16:20:00,40.687473,-73.826706,1,0,117 ST,103 AVE
2025-09-21,16:54:00,40.58153,-73.961945,1,0,NEPTUNE AVE,BRIGHTON 7 ST
2025-09-21,19:10:00,40.714928,-74.00794,1,0,CHURCH ST,CHAMBERS ST
2025-09-20,19:06:00,40.72305,-73.989655,1,0,NA,NA
2025-09-20,21:13:00,40.760994,-73.99076,1,0,9 AVE,W 46 ST
2025-09-20,11:50:00,40.74137,-73.97252,1,0,FDR DRIVE,NA
2025-09-20,17:30:00,40.6255,-74.15214,1,0,FOREST AVE,LAKE AVE
2025-09-20,17:05:00,40.674667,-73.86791,1,0,AUTUMN AVE,BELMONT AVE
2025-09-20,20:15:00,40.72135,-74.00464,1,0,W BROADWAY,CANAL ST
2025-09-20,17:10:00,40.6543,-74.00098,1,0,NA,NA
2025-09-20,02:19:00,40.68602,-73.97794,1,0,NA,NA
2025-09-20,01:54:00,40.724274,-73.99082,1,0,2 AVE,E 1 ST
2025-09-20,00:00:00,40.69729,-73.75644,1,0,197 ST,115 AVE
2025-09-20,13:45:00,40.705944,-73.81201,2,0,144 ST,87 RD
2025-09-20,13:50:00,40.647907,-74.00741,1,0,45 ST,5 AVE
2025-09-20,21:00:00,40.72612,-74.001595,1,0,PRINCE ST,THOMPSON ST
2025-09-20,22:41:00,40.889263,-73.829796,1,0,NA,NA
2025-09-20,22:30:00,40.74765,-73.97357,1,0,NA,NA
2025-09-19,10:45:00,40.715473,-73.984406,1,0,NA,NA
2025-09-19,18:10:00,40.712006,-73.7581,1,0,99 AVE,202 ST
2025-09-19,13:13:00,40.72681,-73.89415,1,0,NA,NA
2025-09-19,00:00:00,40.636024,-74.13477,1,0,PORT RICHMOND AVE,CASTLETON AVE
2025-09-19,15:45:00,40.65115,-73.89001,1,0,FLATLANDS AVE,LOUISIANA AVE
2025-09-19,14:40:00,40.756958,-73.93055,1,0,30 ST,36 AVE
2025-09-19,00:00:00,40.855484,-73.86982,1,0,BRONX PARK E,BOSTON RD
2025-09-19,13:30:00,40.80289,-73.96416,1,0,NA,NA
2025-09-19,15:00:00,40.623837,-73.96129,1,0,NA,NA
2025-09-19,17:52:00,40.76277,-73.813995,1,0,150 ST,41 AVE
2025-09-19,22:50:00,40.75469,-73.99535,1,0,9 AVE,W 36 ST
2025-09-19,14:22:00,40.685993,-73.83992,1,0,101 AVE,103 ST
2025-09-19,20:04:00,40.768524,-73.87248,1,0,98 ST,23 AVE
2025-09-19,22:49:00,40.748432,-73.98247,1,0,E 35 ST,MADISON AVE
2025-09-19,18:00:00,40.821186,-73.93759,1,0,NA,NA
2025-09-19,08:10:00,40.799526,-73.937996,1,0,NA,NA
2025-09-19,14:09:00,40.828037,-73.89511,1,0,E 169 ST,TIFFANY ST
2025-09-19,21:00:00,40.6827,-73.92901,1,0,MALCOLM X BLVD,MAC DONOUGH ST
2025-09-19,23:15:00,40.767418,-73.790596,1,0,33 AVE,FRANCIS LEWIS BLVD
2025-09-19,15:40:00,40.685795,-73.91164,1,0,BUSHWICK AVE,SCHAEFER ST
2025-09-19,18:20:00,40.68135,-73.966354,1,0,NA,NA
2025-09-19,21:30:00,40.645073,-73.95802,1,0,FLATBUSH AVE,BEVERLEY RD
2025-09-19,17:40:00,40.76906,-73.928474,1,0,21 ST,30 RD
2025-09-18,11:30:00,40.690483,-73.93953,1,0,MARCUS GARVEY BLVD,VAN BUREN ST
2025-09-18,19:49:00,40.74778,-74.00482,1,0,NA,NA
2025-09-18,07:50:00,40.68951,-73.97524,1,0,NA,NA
2025-09-18,21:06:00,40.696133,-73.98711,1,0,JAY ST,TILLARY ST
2025-09-18,08:46:00,40.652164,-74.009926,1,0,3 AVE,42 ST
2025-09-18,16:04:00,40.635075,-73.97025,1,0,NA,NA
2025-09-18,16:15:00,40.88288,-73.86319,1,0,WHITE PLAINS RD,E 218 ST
2025-09-18,12:14:00,40.60686,-74.0771,1,0,HYLAN BOULEVARD,NARROWS ROAD NORTH
2025-09-18,12:27:00,40.72269,-73.98903,1,0,NA,NA
2025-09-18,19:10:00,40.843765,-73.86965,1,0,NA,NA
2025-09-18,05:25:00,40.709675,-73.82002,1,0,MAIN ST,QUEENS BLVD
2025-09-18,00:00:00,40.70604,-73.941284,1,0,HUMBOLDT ST,BOERUM ST
2025-09-18,23:44:00,40.69731,-73.95652,1,0,NA,NA
2025-09-18,19:00:00,40.716644,-73.99581,1,0,CANAL ST,BOWERY
